Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,popularity,is_hit
77446,0.413,0.917,2,-5.999,0,0.0742,0.313,0.0,0.732,0.478,77.635,4,3.8791,45,0
34738,0.495,0.703,7,-7.455,1,0.0602,0.435,0.0,0.944,0.221,103.624,4,3.2857666666666665,45,0
84808,0.444,0.958,10,-3.866,0,0.0485,0.00867,0.00652,0.323,0.551,108.478,4,3.7733333333333334,45,0
66495,0.964,0.782,0,-3.497,1,0.157,0.00458,0.000223,0.338,0.624,122.03,4,6.4344166666666665,12,0
45575,0.576,0.0313,2,-17.935,0,0.127,0.935,0.63,0.111,0.0391,109.827,4,2.7552,23,0
47888,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,4,4.9411,66,0
18387,0.567,0.577,8,-11.419,1,0.937,0.936,0.0,0.532,0.399,79.618,1,3.0291,24,0
11295,0.48,0.969,9,-7.464,1,0.0854,0.069,0.00022,0.0608,0.494,142.489,4,2.7242166666666665,65,0
70350,0.406,0.354,5,-6.814,1,0.0277,0.569,0.0,0.225,0.222,137.746,4,4.899333333333334,51,0
26948,0.411,0.1,9,-18.398,1,0.041,0.913,0.0,0.118,0.192,123.298,5,3.574,19,0
100609,0.751,0.737,8,-6.507,1,0.0376,0.0476,2.86e-05,0.0789,0.941,137.05,4,3.4031,32,0
54890,0.616,0.884,2,-5.048,1,0.24,0.105,0.656,0.0726,0.613,159.982,4,4.913233333333333,10,0
92596,0.397,0.963,0,-7.589,1,0.0548,0.701,0.00122,0.392,0.602,154.114,4,2.8966666666666665,26,0
47714,0.332,0.725,11,-5.809,0,0.116,0.000209,0.607,0.0767,0.422,182.364,4,6.105766666666667,64,0
40702,0.401,0.484,7,-11.828,1,0.0388,0.754,0.0,0.754,0.508,100.803,4,2.6602166666666665,39,0
58871,0.491,0.83,7,-7.421,0,0.0333,0.00518,0.00164,0.346,0.379,131.984,4,3.772,20,0
61792,0.613,0.93,9,-1.73,1,0.145,0.0598,0.000936,0.85,0.79,150.092,4,5.4382166666666665,18,0
31831,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958,4,3.6348833333333332,67,0
51752,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4,5.213666666666667,83,1
17341,0.587,0.894,1,-5.391,0,0.0336,2.98e-05,0.838,0.399,0.0427,125.003,4,6.4125,21,0
12016,0.526,0.184,11,-12.648,1,0.0359,0.95,0.0,0.0778,0.237,143.567,4,4.763883333333333,57,0
12014,0.629,0.257,8,-13.329,0,0.0442,0.861,1.26e-06,0.18,0.374,77.524,4,3.0130166666666667,43,0
101796,0.137,0.89,11,-26.949,0,0.041,0.903,0.696,0.119,0.0238,78.953,4,1.9299833333333334,33,0
69053,0.478,0.533,9,-8.29,0,0.0295,0.837,0.00383,0.0734,0.388,99.965,4,4.1,45,0
12716,0.712,0.728,2,-10.332,1,0.0499,0.794,0.000419,0.0942,0.564,128.009,4,3.488,33,0
58828,0.379,0.505,2,-11.048,0,0.0325,0.00224,0.618,0.203,0.353,95.09,4,6.451766666666667,22,0
75876,0.339,0.109,3,-19.685,1,0.035,0.969,0.896,0.116,0.116,70.09,4,4.38435,21,0
74869,0.516,0.805,7,-9.143,1,0.0313,0.0422,0.0203,0.585,0.514,137.161,4,3.6773333333333333,40,0
110571,0.66,0.969,7,-6.003,1,0.0928,0.000111,0.697,0.144,0.316,145.0,4,5.2119,36,0
99795,0.546,0.655,8,-6.526,1,0.0255,0.386,1.04e-05,0.0983,0.518,80.007,4,4.0611,62,0
41162,0.391,0.979,2,-2.67,1,0.0612,0.00103,7.72e-05,0.332,0.636,152.996,4,3.4968833333333333,29,0
42948,0.304,0.991,0,-4.726,1,0.107,4.03e-06,0.0195,0.0411,0.369,97.802,4,4.008,14,0
10644,0.755,0.41,8,-16.203,1,0.0399,0.211,0.841,0.124,0.505,148.026,4,2.9467333333333334,14,0
39679,0.661,0.535,7,-10.64,0,0.0491,0.153,1.35e-06,0.317,0.441,120.087,4,3.31345,39,0
4165,0.159,0.487,9,-13.086,0,0.0491,0.0332,0.867,0.135,0.0328,77.44,5,2.5713833333333334,47,0
18818,0.69,0.678,4,-10.954,1,0.934,0.816,0.0,0.772,0.585,110.268,5,2.6804333333333332,20,0
12718,0.491,0.118,9,-20.243,0,0.0331,0.783,7.57e-05,0.145,0.137,82.409,4,4.106216666666667,22,0
5124,0.573,0.915,5,-2.513,0,0.0852,0.0754,0.0,0.336,0.894,165.06,4,3.6357666666666666,58,0
2777,0.627,0.919,2,-5.635,1,0.0529,0.0582,0.0,0.179,0.909,139.95,4,2.706,46,0
26792,0.362,0.222,2,-18.202,0,0.0622,0.842,6.91e-06,0.643,0.266,72.805,4,6.377766666666667,19,0
49424,0.569,0.788,7,-5.766,1,0.0685,0.000346,0.0392,0.0637,0.297,150.025,4,4.920333333333334,23,0
40468,0.538,0.787,7,-3.852,0,0.0486,0.182,0.0,0.214,0.239,138.085,4,5.6848833333333335,41,0
77721,0.755,0.68,5,-5.978,0,0.0524,0.294,0.0,0.3,0.897,145.95,4,2.2675,43,0
99997,0.69,0.582,5,-6.259,0,0.0333,0.358,0.0,0.0776,0.448,122.02,4,2.94755,60,0
98681,0.664,0.363,2,-9.093,1,0.0861,0.801,0.0,0.106,0.622,124.423,4,3.4468833333333335,23,0
109852,0.438,0.827,2,-8.529,1,0.0459,0.0185,0.881,0.123,0.0373,123.982,4,6.4603166666666665,39,0
104795,0.739,0.86,5,-9.486,1,0.0423,0.00706,0.0029,0.219,0.653,124.875,4,4.154216666666667,27,0
108633,0.55,0.424,7,-7.525,0,0.0427,0.871,0.143,0.133,0.709,123.215,4,2.9644333333333335,18,0
113483,0.412,0.362,2,-9.556,1,0.0272,0.412,1.49e-05,0.146,0.365,77.459,4,4.40755,50,0
98125,0.795,0.409,9,-8.334,0,0.372,0.684,0.0,0.0548,0.577,77.879,3,1.8790333333333333,65,0
47723,0.45,0.618,2,-3.522,0,0.0308,0.26,0.0,0.121,0.291,147.96,4,4.3691,53,0
66560,0.811,0.769,7,-5.111,1,0.0403,0.0206,0.0,0.134,0.898,104.055,4,2.5091,10,0
44569,0.558,0.933,11,-4.877,1,0.047,0.00445,4.88e-06,0.225,0.461,132.585,4,3.696066666666667,40,0
113594,0.518,0.183,4,-14.355,1,0.0328,0.907,0.0,0.112,0.308,143.62,4,4.0066,37,0
43689,0.529,0.939,9,-6.669,1,0.135,0.403,0.0,0.965,0.62,130.941,4,7.423766666666666,26,0
104323,0.578,0.791,9,-5.758,1,0.0315,0.0975,5.58e-05,0.118,0.162,105.042,4,4.59155,59,0
12965,0.537,0.388,10,-12.162,1,0.0306,0.0544,0.000283,0.101,0.178,110.499,4,1.8388166666666668,29,0
22618,0.287,0.962,10,-5.185,0,0.179,0.00169,1.51e-06,0.113,0.243,112.456,3,3.41555,22,0
112626,0.465,0.824,6,-6.974,0,0.307,0.716,0.0,0.125,0.449,83.238,4,4.116666666666666,40,0
15693,0.476,0.549,4,-10.426,1,0.395,0.81,0.000226,0.141,0.167,182.104,4,2.3214166666666665,57,0
95257,0.682,0.553,5,-15.326,1,0.0388,0.378,0.0,0.049,0.69,87.845,4,3.7503,32,0
62995,0.51,0.499,10,-10.563,1,0.0299,0.397,0.00565,0.107,0.312,90.366,4,4.123333333333333,36,0
79942,0.707,0.0416,8,-20.531,1,0.0555,0.99,0.939,0.112,0.0393,130.079,3,4.573066666666667,28,0
61392,0.556,0.666,2,-5.219,1,0.0314,0.037,0.0,0.189,0.287,89.011,4,5.554883333333334,23,0
22407,0.495,0.991,1,-3.633,1,0.134,0.00123,0.358,0.33,0.235,92.456,4,2.683333333333333,51,0
5567,0.522,0.916,0,-3.773,1,0.0447,0.00614,0.0,0.369,0.281,170.992,4,3.67835,44,0
25200,0.831,0.794,2,-3.701,0,0.0752,0.705,3.4e-05,0.0978,0.735,118.075,4,3.596433333333333,61,0
54164,0.181,0.25,0,-21.355,1,0.0441,0.661,0.923,0.105,0.0388,74.385,4,5.3211,15,0
75447,0.392,0.601,5,-18.688,1,0.0805,0.889,0.709,0.888,0.375,103.851,4,11.037766666666666,24,0
30684,0.57,0.737,1,-4.27,0,0.0685,0.0314,0.0,0.248,0.621,100.052,4,2.80195,75,1
81942,0.895,0.467,5,-10.48,0,0.199,0.178,0.0,0.0802,0.742,132.955,4,3.98505,65,0
10393,0.683,0.713,2,-6.633,0,0.101,0.139,0.0,0.107,0.939,178.06,4,3.7506666666666666,14,0
