y_true,y_pred
75,49.033259293624106
23,41.557633863284636
51,51.28745701483902
68,40.836315221184776
37,46.682049311790706
69,33.3628292661281
11,25.500982953185424
39,37.85140561028271
27,37.702286884390745
16,26.196267638650287
16,30.177829399075723
46,43.34859701596329
50,31.11680940752859
18,40.80194738109183
41,44.13836473093352
32,41.09282226238328
61,51.73549388843334
10,20.444111090550432
14,29.986247565610125
32,38.588389554372476
32,45.113981806904995
42,37.9108397769894
32,30.67575701384075
20,38.454436629410395
49,43.62015301141387
42,41.335914430789956
41,33.25112950501824
17,41.53106840902813
20,31.76089678321565
54,44.26780362401798
20,27.45415681170102
38,46.468574648377455
26,42.442542604644274
24,31.011410312179922
17,32.12327762917636
42,43.19211050341424
26,36.740802109759585
41,34.775457066825915
68,45.11166326221652
54,32.59367483216575
36,43.88934117493022
22,32.61294650764993
48,41.63583379642178
34,48.64231920397277
67,47.4509741404594
65,50.47111060409094
57,36.81881093848755
63,43.458628436342416
31,37.677341239887426
74,46.79491917714039
33,39.911379884810465
56,42.36058716784777
50,47.56189072000462
14,15.098188391718029
48,41.763942323138835
49,50.383843461468565
19,32.79477367566353
76,45.55955359142713
26,45.436960586116754
44,45.70655916797668
33,41.207377796378516
21,25.77649172071568
22,31.697987235708673
62,57.20969070580154
37,40.20776244296832
65,48.127289995239614
21,22.374974951635327
40,44.98293256517545
46,39.51699222136419
59,39.35215395793615
60,51.543355006708055
68,43.26645213097205
20,27.788391606787954
44,33.45563419303023
43,47.217835988788636
15,34.62338464034609
53,37.004861530598866
44,50.11432246669926
55,43.14904725407706
34,47.156139414804656
51,38.519229835916356
54,29.21873288836861
64,44.137406696362135
54,44.782353035101124
27,37.55037502772457
50,37.66423892870072
28,46.38279873249757
53,43.34521333386654
64,27.405006649251256
55,48.032713080771565
70,43.21653669641816
56,36.07245189352015
15,33.44416247390397
40,43.265682962797584
51,48.248763330688135
59,42.70948704911159
50,43.51432997667881
38,42.58690865240239
60,38.06882654044064
66,41.394945468847276
54,49.96884239983106
39,41.48186711438618
22,31.616246438874057
19,24.455722386095495
55,31.076035220931686
15,34.59740059732752
39,43.377808336594434
62,41.882891687141836
62,38.5012847766189
58,43.087090444086655
24,23.53324863433204
28,40.66663913192855
66,48.35742358406741
62,51.138256334292166
39,40.62473724779889
48,37.24060540859588
29,37.51440641937702
22,43.900763504409355
30,40.23012709940746
37,40.71834499956418
22,29.404027237256827
15,37.4646004646449
47,38.968744150743944
57,51.94341477226387
28,36.133525180979085
23,36.31561260512841
53,30.04650497607141
54,39.25583440780874
47,42.71692751333797
43,36.088607317480495
