danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,is_short_track,energy_x_danceability,acoustic_minus_energy,explicit_int,macro_classical,macro_electronic,macro_folk_country,macro_hiphop_rnb,macro_jazz_blues,macro_latin,macro_metal,macro_mood_other,macro_pop,macro_reggae,macro_rock,macro_world,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_3,ts_4,ts_5,popularity,is_hit
0.592,0.244,-9.658,1,0.0331,0.847,2.57e-06,0.11,0.39,88.539,2.4008833333333333,1,0.144448,0.603,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0
0.074,0.999,-18.343,0,0.0515,0.599,0.963,0.944,1e-05,175.833,1.9416666666666667,1,0.07392599999999999,-0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,33,0
0.75,0.81,-9.04,0,0.0685,0.127,0.836,0.174,0.741,120.017,6.013333333333334,0,0.6075,-0.683,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0
0.173,0.985,-5.528,1,0.0815,0.000196,0.142,0.65,0.474,160.692,3.3712833333333334,0,0.17040499999999997,-0.984804,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0
0.452,0.798,-6.25,1,0.0582,0.00334,0.00167,0.215,0.32,173.997,3.32425,0,0.360696,-0.79466,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,38,0
0.44,0.636,-10.322,1,0.0627,0.139,0.757,0.697,0.455,142.665,8.075533333333333,0,0.27984000000000003,-0.497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,41,0
0.619,0.781,-6.548,1,0.333,0.148,0.0,0.183,0.728,182.026,2.954,0,0.483439,-0.633,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0
0.725,0.414,-9.249,0,0.067,0.583,0.000253,0.0908,0.917,59.951,2.36535,1,0.30015,0.16899999999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,41,0
0.82,0.659,-4.426,0,0.0404,0.0384,0.00143,0.296,0.625,104.948,2.6476166666666665,0,0.54038,-0.6206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,42,0
0.528,0.968,-3.457,1,0.145,5.67e-05,0.0916,0.0668,0.305,91.934,3.4131,0,0.511104,-0.9679433,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,62,0
0.404,0.961,-6.053,0,0.0652,6.73e-05,0.707,0.0677,0.296,144.968,4.806516666666667,0,0.38824400000000003,-0.9609327,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,21,0
0.436,0.232,-11.736,1,0.0324,0.937,0.00475,0.096,0.278,145.978,3.4233333333333333,0,0.101152,0.7050000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23,0
0.541,0.514,-5.734,0,0.033,0.0037,0.0,0.113,0.247,109.796,3.915,0,0.27807400000000004,-0.5103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,0
